date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup
2005-01-01,0.44617,2.484159539,9.8913304396,-3346998839.5214896,-11.2934575321,42.8633898523,13.8279035934,7.1235110764,10211.2798788526,10240.0,78428266854.0298,10.0825996399,0.057295,-0.0955871,40.0,81000.0,17.3507687432,2.0,0.1818574,0.1465096,1.0,0.6437926,0.5948927,35.7,0.75,290017.0,103.3586,89.22806,45.36802,685640.0
2006-01-01,0.4454,2.534888721,10.0037633097,-5863231595.240029,-17.1790523073,47.3215443328,23.0719249764,6.8743583794,11313.5508143539,11030.0,83850192576.6362,8.9506998062,-0.0707363,-0.0935352,40.0,81000.0,17.4807089807,2.0,-0.0573758,0.3955171,1.0,0.5968993,0.5771172,35.7,0.756,273045.0,103.41791,89.74012,47.15087,662510.0
2007-01-01,0.43024,2.198539597,8.8704861729,-11437006353.762,-25.7523668214,52.3802470692,31.2425335354,7.3444219091,12800.8166750994,11870.0,89548973887.1928,6.877699852,-0.1834969,-0.0459552,40.9999990463,81000.0,17.5905067555,2.0,-0.0075428,0.3582801,1.0,0.6287009,0.6909354,36.1,0.764,267584.0,106.84427,90.23805,50.58833,633343.0
2008-01-01,0.44787,2.856082179,9.9506988374,-11875334885.4618,-21.8259932306,52.5433676169,18.9246161911,6.0218834021,14328.9898581008,13720.0,102780473274.18301,5.6094999313,-0.2546794,-0.1072635,35.9999990463,81000.0,17.7039021479,2.0,-0.0473091,0.3706311,2.0,0.6973,0.5779763,33.6,0.771,262701.0,108.87175,89.43396,51.91331,593321.0
2009-01-01,0.4947,2.770416758,11.6601737928,-4256328502.85846,-8.2034712252,42.3320120736,7.5102698403,-3.5861456251,14146.1068964246,13880.0,103337469669.589,6.8165998459,-0.2125671,-0.0383404,37.9999995232,82300.0,17.8583351631,2.0,0.1661583,0.353604,2.0,0.6694661,0.5604841,33.8,0.774,261007.0,109.68893,88.74194,54.23545,554835.0
2010-01-01,0.56387,3.036082907,14.3675277985,-964620000.0,-1.9059847669,50.1788787944,3.6413710341,1.3240878009,14934.132741045,14620.0,108145989420.48,10.2793998718,-0.1851036,-0.0692405,35.9999990463,83100.0,18.078674124,2.0,0.1148352,0.3600911,2.0,0.6495608,0.5314857,35.7,0.779,260340.0,108.33101,90.2262,57.79518,531980.0
2011-01-01,0.53191,2.959871369,13.277029358,272490000.0,0.4745690078,59.0690820837,3.6639987679,1.9149058529,15676.1333354642,15180.0,111573377338.563,11.2595996857,-0.2203161,-0.1117412,33.2896590233,84000.0,18.4120672481,2.0,0.1100856,0.3017503,2.0,0.5438341,0.4500802,34.3,0.782,255086.0,103.58486,93.75526,59.02869,523355.0
2012-01-01,0.60479,2.8697742,15.7514521625,-528620000.0,-0.9806871249,60.7991916178,3.3172722464,0.0309698687,16208.2204291165,15990.0,116829002919.851,12.269900322,-0.2278577,-0.085205,41.0,84000.0,18.8141864682,2.0,0.1418881,0.379834,2.0,0.5632586,0.4009156,36.0,0.786,252372.0,100.32917,94.69573,61.35998,503786.0
2013-01-01,0.63724,3.215418819,18.1570190693,678640000.0,1.2215604554,64.8781363715,3.5802967822,0.4939214212,16571.028761691,16200.0,117730183198.039,12.9407997131,-0.2672882,-0.1024054,41.0,84000.0,19.2492875257,2.0,0.1573445,0.1707104,2.0,0.5389014,0.3372708,36.6,0.792,253675.0,98.05494,101.45316,64.19198,519569.0
2014-01-01,0.79377,3.303250263,16.9666248124,747230000.0,1.3152090191,64.9049620326,1.9248592578,1.8375211479,17534.3032559292,17380.0,125570609961.756,11.4238004684,-0.2468749,-0.0460172,43.0,84000.0,19.661890741,2.0,0.0787379,0.0785409,2.0,0.568319,0.366463,37.4,0.797,258840.0,96.66216,104.14878,67.56356,518914.0
2015-01-01,0.96015,3.127609235,17.6500779274,61370000.0,0.122247794,64.5380422511,4.3415197482,3.4711860409,18186.4872278588,17820.0,127919416245.63,9.1433000565,-0.2646455,-0.0970044,41.0,84000.0,20.018831233,2.0,0.2086831,0.0173222,2.0,0.5637681,0.4325731,38.6,0.807,261793.0,94.19827,102.27227,70.30154,501398.0
2016-01-01,0.78006,3.26570969,19.8244032464,1756550000.0,3.2992461489,64.7258047381,2.7732412621,3.936758149,19500.3294529732,19450.0,138633362134.689,7.5746002197,-0.1684433,-0.0614716,41.0,84000.0,20.4293428662,2.0,0.2958971,0.0773333,2.0,0.6585177,0.4011085,40.6,0.812,261969.0,91.08322,99.67708,71.24574,487087.0
2017-01-01,0.75239,3.4145176961,19.205086921,2121950000.0,3.6446487617,68.1464730188,3.470124027,3.8112481584,20948.1942754245,21220.0,150173093130.025,6.1644001007,-0.1611123,-0.040923,43.0,84000.0,20.7576011863,2.0,0.2601942,0.3319523,2.0,0.6258,0.3787741,40.4,0.813,264503.0,89.33377,98.18347,71.03066,485586.0
2018-01-01,0.7884467466,3.7273923634,18.2038150299,3492220000.0,5.3616793653,66.9400965297,1.8770529802,3.0811572337,21960.3699424605,22300.0,156635795106.97302,5.211400032,-0.1515335,-0.029567,42.0,84000.0,21.0219144343,2.0,0.2718757,0.4196386,2.0,0.5765803,0.3233821,37.3356533408,0.816,258469.4195817411,100.8947866472,103.8347478844,65.5450363773,570898.0456699133
