date,Denmark,Finland,Switzerland,Sweden,Norway,Netherlands,Luxembourg,Germany,Iceland,United Kingdom,Austria,Belgium,Ireland,Estonia,France,Portugal,Spain,Poland,Latvia,Italy,Greece,Romania,Hungary,Bulgaria
2005-01-01,95.0,96.0000038147,91.0000038147,91.9999980927,88.9999961853,86.0000038147,85.0,81.9999980927,96.9999980927,86.0000038147,86.9999980927,74.0000009537,74.0000009537,64.0000009537,75.0,65.0,70.0,34.0000009537,41.9999980927,50.0,43.0000019073,30.0,50.0,40.0
2006-01-01,95.0,96.0000038147,91.0000038147,91.9999980927,88.0000019073,86.9999980927,86.0000038147,80.0,96.0000038147,86.0000038147,86.0000038147,73.0000019073,74.0000009537,66.9999980927,74.0000009537,65.9999990463,68.0000019073,37.0000004768,46.9999980927,49.0000009537,44.0000009537,30.9999990463,51.9999980927,40.0
2007-01-01,93.9999961853,93.9999961853,90.0,93.0000019073,86.9999980927,90.0,83.9999961853,78.0000019073,91.9999980927,83.9999961853,81.0000038147,70.9999990463,75.0,65.0,73.0000019073,65.0,66.9999980927,41.9999980927,48.0000019073,51.9999980927,45.9999990463,37.0000004768,53.0000019073,40.9999990463
2008-01-01,93.0000019073,90.0,90.0,93.0000019073,79.0000009537,88.9999961853,83.0000019073,79.0000009537,88.9999961853,76.9999980927,81.0000038147,73.0000019073,76.9999980927,65.9999990463,69.0000009537,60.9999990463,65.0,45.9999990463,50.0,48.0000019073,46.9999980927,37.9999995232,50.9999990463,35.9999990463
2009-01-01,93.0000019073,88.9999961853,90.0,91.9999980927,86.0000038147,88.9999961853,81.9999980927,80.0,86.9999980927,76.9999980927,79.0000009537,70.9999990463,80.0,65.9999990463,69.0000009537,58.0000019073,60.9999990463,50.0,45.0,43.0000019073,37.9999995232,37.9999995232,50.9999990463,37.9999995232
2010-01-01,93.0000019073,91.9999980927,86.9999980927,91.9999980927,86.0000038147,88.0000019073,85.0,79.0000009537,85.0,75.9999990463,79.0000009537,70.9999990463,80.0,65.0,68.0000019073,60.0,60.9999990463,53.0000019073,43.0000019073,39.0000009537,35.0,37.0000004768,46.9999980927,35.9999990463
2011-01-01,93.9208030701,94.0392684937,88.0167388916,92.9848766327,89.8985385895,88.9449691772,85.0702953339,80.461435318,82.7402687073,77.7508401871,77.8690290451,74.8743104935,75.3603887558,63.5361099243,70.0506401062,60.9760904312,62.295999527,54.824180603,41.9430017471,39.0691304207,33.889670372,36.1214590073,45.5544805527,33.2896590233
2012-01-01,90.0,90.0,86.0,88.0,85.0,84.0,80.0,79.0,82.0,74.0,69.0,75.0,69.0,64.0,71.0,63.0,65.0,58.0,49.0,42.0,36.0,44.0,55.0,41.0
2013-01-01,91.0,89.0,85.0,89.0,86.0,83.0,80.0,78.0,78.0,76.0,69.0,75.0,72.0,68.0,71.0,62.0,59.0,60.0,53.0,43.0,40.0,43.0,54.0,41.0
2014-01-01,92.0,89.0,86.0,87.0,86.0,83.0,82.0,79.0,79.0,78.0,72.0,76.0,74.0,69.0,69.0,63.0,60.0,61.0,55.0,43.0,43.0,43.0,54.0,43.0
2015-01-01,91.0,90.0,86.0,89.0,88.0,84.0,85.0,81.0,79.0,81.0,76.0,77.0,75.0,70.0,70.0,64.0,58.0,63.0,56.0,44.0,46.0,46.0,51.0,41.0
2016-01-01,90.0,89.0,86.0,88.0,85.0,83.0,81.0,81.0,78.0,81.0,75.0,77.0,73.0,70.0,69.0,62.0,58.0,62.0,57.0,47.0,44.0,48.0,48.0,41.0
2017-01-01,88.0,85.0,85.0,84.0,85.0,82.0,82.0,81.0,77.0,82.0,75.0,75.0,74.0,71.0,70.0,63.0,57.0,60.0,58.0,50.0,48.0,48.0,45.0,43.0
2018-01-01,88.0,85.0,85.0,85.0,84.0,82.0,81.0,80.0,76.0,80.0,76.0,75.0,73.0,73.0,72.0,64.0,58.0,60.0,58.0,52.0,45.0,47.0,46.0,42.0
