date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,existing_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup
2005-01-01,0.36727,0.372465509,3.3648509735,-970855828.8013211,-5.2668267133,55.692110256,6.303627116,4.8530038384,27763.2100933612,26320.0,19438172686.1818,5.3036999702,0.9068687,0.8870873,18500.0,10.765699228,1.0,1.157761,0.5162975,1.0,1.221836,0.9558727,30.3,0.83,61247.0,100.85795,96.54328,33.22082,64293.0
2006-01-01,0.38346,0.356343014,3.5142383272,-1278222530.56614,-6.3679377055,53.4357273848,9.325550995,4.7138286656,29984.3650676861,28320.0,21269250117.108997,4.5429000854,1.093416,1.105021,18500.0,10.8813236066,1.0,1.267324,0.5397544,1.0,1.27707,1.052067,31.1,0.836,59710.0,102.38691,96.59815,33.41991,64714.0
2007-01-01,0.40007,0.335030097,4.3553113255,-1830417730.9320397,-7.6366796747,53.2588980126,9.5734413677,5.0980684526,32849.7769235572,30750.0,23585381535.145,3.9219999313,1.080966,1.119864,18500.0,10.989806461,1.0,1.427616,0.5371549,1.0,1.331325,1.066656,31.1,0.844,57785.0,102.47384,97.77915,36.17381,64853.0
2008-01-01,0.38601,0.252117649,5.4936639968,-4021890150.5923705,-14.4440065671,50.0816009784,44.1638687211,3.6468119906,34830.3698994386,34260.0,26949463379.0258,3.6547000408,1.204644,1.216479,18500.0,11.1055944037,1.0,1.532571,0.6396841,1.0,1.367876,1.084034,31.7,0.852,56799.0,103.35171,98.32904,42.618,64966.0
2009-01-01,0.44442,0.296076311,5.9785161672,-1737607775.50751,-6.6971730107,48.7221408292,249.1080485673,-2.0152623591,33891.6745300468,33800.0,27309424258.7043,5.3639001846,0.912045,1.212835,18500.0,11.2454158748,1.0,1.418329,0.3891754,1.0,1.362604,1.068028,32.1,0.854,55837.0,105.36476,98.38756,52.00389,64557.0
2010-01-01,0.44663,0.317047592,6.3532255992,-2798526225.68996,-10.875482533,50.3797480615,120.5945221969,2.014695707,33421.0426186656,32940.0,27325125552.3111,6.2628002167,0.9748735,1.216249,18500.0,11.4175471773,1.0,1.53183,0.4524448,1.0,1.423306,1.023391,31.5,0.85,54806.0,101.62433,91.4408,48.31158,63662.0
2011-01-01,0.45554,0.317230031,7.4157519845,-606475259.489323,-2.2001267504,53.4951590496,146.7265455969,0.4014379411,33313.5372341647,34190.0,29092501622.955,7.8561000824,0.866362,1.07301,18500.0,11.6674208527,1.0,1.563668,0.6079845,1.0,1.236406,1.053583,32.6,0.853,54371.0,101.20054,92.82562,46.53973,62894.0
2012-01-01,0.43778,0.325138183,8.3389001717,-998425002.416898,-3.9971353994,55.3122593814,280.131833141,-3.4468220859,31834.4995572679,31610.0,27312569435.9114,11.7952003479,1.251134,1.09963,18500.0,11.9400447207,1.0,1.391172,0.6351261,1.0,1.130751,1.022024,34.3,0.852,54272.0,100.17535,95.29985,45.86359,61801.0
2013-01-01,0.48218,0.274789041,9.4959303608,-349870669.376058,-1.463840567,61.3603125807,108.6417072591,-6.553078255,30375.2171825294,30020.0,25872264232.253,15.8706998825,1.245758,1.036581,19000.0,12.2323768693,1.0,1.366624,0.5633472,1.0,0.9171373,0.9808227,37.0,0.854,54069.0,99.76198,98.31169,47.52524,60793.0
2014-01-01,0.50835,0.244042455,9.3632956837,-957946474.8802401,-4.141913354,66.109181406,223.7059923229,-1.8637398176,30042.8128905172,29240.0,24927071188.1656,16.0879993439,1.075781,1.077018,19000.0,12.5336179851,1.0,1.140384,0.5518821,1.0,1.098858,1.01997,35.6,0.856,53129.0,99.15272,99.41673,53.10435,58634.0
2015-01-01,0.48059,0.312341818,9.9420660164,-83510340.23706579,-0.4222139968,70.3258965023,146.4194968433,3.3746870624,31722.3665130378,31510.0,26713761857.6786,14.9083995819,1.007444,1.039911,19106.4,12.8329823383,1.0,1.04862,0.5508665,1.0,1.062325,1.031584,34.0,0.864,53773.0,99.30012,99.77831,60.10123,57161.0
2016-01-01,0.53442,0.27455625,8.4053434236,-863601462.207065,-4.1338571096,70.7503129359,40.7267692609,6.7465836786,34379.4643669454,33000.0,28105641758.2215,12.9497995377,0.8266463,0.721344,19106.0,13.1237998713,1.0,0.9609431,0.6042547,1.0,1.052626,1.046577,32.9,0.869,54541.0,98.54551,99.11931,67.17111,55711.0
2017-01-01,0.55322,0.313637737,9.4550412577,-1132805131.73674,-5.0038638441,73.0152992341,81.1006068722,4.3612288369,36875.1273894248,35750.0,30728787491.2844,11.0515003204,0.7827289,0.8849497,19106.0,13.4153557157,1.0,0.9199778,0.5377303,1.0,1.030003,1.055163,31.4,0.871,55862.0,99.30669,100.33255,75.94081,55212.0
2018-01-01,0.4709826345,0.2683782207,8.1648177216,-1067068304.0167699,-4.2747728092,73.0657600702,20.8587213724,4.0601917619,38513.2845672751,39880.0,34697802147.2251,8.3697004318,0.6399662,0.7534632,19106.0,13.7190617734,1.0,0.9209022,0.543319,1.0,1.017323,1.038081,34.4468032122,0.873,53337.8236366361,100.4837770892,98.083930264,50.1670857501,60307.1555145979
