date,R_and_D_expenditure,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,2.68614,62.4655995725,-2653254418.09806,-15.7814108295,30.4021370249,18.4010382827,6.3300043122,37233.1962853091,35470.0,10526296722.7951,2.5469999313,2.311686,1.951466,96.9999980927,11.808637225,1.0,1.973407,1.444746,1.0,1.603446,1.568608,29.0,0.891,30785.0,96.863,111.24725,69.88068,33323.0,64.4700012207
2006-01-01,2.8939,64.015845753,-3974355923.16471,-23.0846860939,30.8192106693,22.5166181995,5.2488201171,39093.9519586874,36300.0,11028043033.0308,2.8297998905,2.183154,1.895821,96.0000038147,11.7870012011,1.0,1.893597,1.454132,1.0,1.526913,1.445337,30.2,0.893,30421.0,97.30983,111.0056,72.1246,33900.0,68.604598999
2007-01-01,2.54913,66.7515975966,-2955849017.66436,-13.7385735982,33.021693224,31.9413497828,9.3653231156,41160.2365118634,38750.0,12073945245.9316,2.2506000996,2.208236,1.845549,91.9999980927,11.7880091617,1.0,1.795479,1.484785,1.0,1.509135,1.431,29.5,0.899,30084.0,98.13413,109.502,71.1184,34434.0,65.3056030273
2008-01-01,2.48745,73.4615703076,-4338343637.56777,-24.2294477523,40.6301814017,6.722535801,1.9919808053,43318.3527469996,34050.0,10807260433.594,2.9456000328,2.343693,1.865286,88.9999961853,11.8183338909,1.0,1.83181,1.215352,1.0,1.310709,1.42565,31.8,0.892,29945.0,99.24107,108.58461,73.74512,35075.0,81.0774993896
2009-01-01,2.59511,74.1238775545,-1257163347.90602,-9.5495366114,48.6449517163,0.4830217801,-6.7772150517,41905.3660341379,33600.0,10700033108.4016,7.2203998566,2.04152,1.714271,86.9999980927,11.8878574457,1.0,1.635219,1.190854,1.0,1.01575,1.415215,28.7,0.891,29860.0,99.88292,106.51382,74.41502,35075.0,86.0994033813
2010-01-01,2.50439,75.4196918407,-881086127.4411321,-6.4389513368,51.9842849514,1.8780248958,-3.4358780778,39576.9712388463,32160.0,10229377123.8514,7.5643000603,1.942624,1.713807,85.0,12.0051946755,1.0,1.585732,1.022254,1.0,0.9226791,1.445753,26.2,0.892,29568.0,99.30812,107.31435,78.81844,35623.0,87.533203125
2011-01-01,2.41367,76.4508536593,-770298543.075026,-5.0816114625,54.7612573417,7.3025427299,1.8816194866,40767.2364144887,34550.0,11022605832.7629,7.0281000137,1.939586,1.697878,82.7402687073,12.264355095,1.0,1.58326,1.24401,1.0,1.057036,1.41073,26.8,0.901,29432.0,98.81152,106.65031,81.47075,35217.0,88.5003967285
2012-01-01,2.057855,77.3446814179,-551498813.3439599,-3.7455574702,55.0172627742,6.9557623166,1.2964360914,41926.3419355085,36690.0,11766282593.5493,6.0001997948,1.886239,1.685005,82.0,12.5778438333,1.0,1.491028,1.245032,1.0,1.119306,1.44295,26.8,0.908,29387.0,98.2153,110.00914,81.95589,36127.0,88.7384033203
2013-01-01,1.70204,76.219495946,925852693.2656789,5.7744826834,53.4930377066,2.9476223475,4.1338511014,44157.5524601264,42100.0,13631427233.6515,5.3763999939,1.912274,1.662148,78.0,12.9338879601,1.0,1.490049,1.287134,1.0,1.14007,1.439569,25.4,0.92,29578.0,98.11584,118.24479,80.29685,38238.0,84.0674972534
2014-01-01,1.94811,76.3388709816,686690283.339159,3.8669153604,51.5209256023,4.3178943722,2.0802871961,45714.8938116702,43500.0,14240759323.4076,4.8972001076,1.827839,1.708532,79.0,13.316433045,1.0,1.4914,1.246975,1.0,1.217898,1.357325,27.8,0.924,29892.0,98.18361,118.61568,81.43798,37530.0,86.4108963013
2015-01-01,2.12004,77.0296892056,888122196.3399961,5.1205817627,51.9389632181,6.6060682938,4.4678605065,48728.0993642438,46480.0,15376113336.7176,3.9791998863,1.93911,1.66733,79.0,13.7141438274,1.0,1.492079,1.308164,1.0,1.273735,1.376502,26.8,0.927,30422.0,98.62543,119.07888,75.76606,36818.0,86.4960632324
2016-01-01,2.03413,78.0291361633,1592738596.14919,7.6884374044,47.4127506702,-5.1471600848,7.3514753084,52582.2938522275,50320.0,16880864403.5238,2.9779000282,1.949494,1.519545,78.0,14.0677772226,1.0,1.385732,1.361624,1.0,1.276847,1.356051,25.3330946982,0.932,31194.0,99.53414,117.62901,73.60044,35651.0,86.5812301636
2017-01-01,2.12724,78.4136752127,930728353.310476,3.8005210474,46.104187828,-28.5832493541,4.6037813746,55322.0901345058,54140.0,18591462282.2833,2.7418999672,1.838121,1.606576,77.0,14.4255412045,1.0,1.450544,1.348026,1.0,1.432059,1.377903,26.4211058994,0.935,31981.0,100.35144,117.51671,71.84501,35161.0,86.6663970947
2018-01-01,1.7223968308,77.6704462889,731283429.759972,2.8258365622,47.218218966,-1.6793930765,4.6114760296,57303.060783165,55190.0,19514871806.6986,2.7039999962,1.843649,1.719734,76.0,14.7950925566,1.0,1.465655,1.412426,1.0,1.417764,1.412682,28.2631477028,0.938,29966.111122787,97.9717306654,117.9842659396,81.025938487,37352.1091672182,91.2731018066
