date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup
2005-01-01,0.52996,0.637541384,0.1812219537,-418293151.785524,-6.5410926149,104.3717547306,340.9214558594,3.7836522585,22232.4828863504,21520.0,8691938430.874409,6.9232997894,0.8240554,1.426871,13.6929665664,1.0,0.8227611,1.380162,1.0,1.062275,1.233854,28.0,0.828,29596.0,100.24047,101.93563,32.34327,40129.0
2006-01-01,0.58025,0.636062078,0.2131773338,-530459806.469372,-7.8503836122,123.4548188856,370.5039175021,1.8287168838,23223.9771252558,22380.0,9072563907.17065,6.7982997894,1.010357,1.568244,13.9599043138,1.0,1.025022,1.230478,1.0,1.115418,1.203782,28.0,0.826,28922.0,101.10113,97.98584,30.63242,38335.0
2007-01-01,0.5485,0.625379626,0.2652769601,-159302726.4515,-2.0214775848,129.5371254885,451.6393121534,3.9864487057,24893.2011506819,24110.0,9806477135.54573,6.4723000526,1.023427,1.629644,14.2414405225,1.0,1.20634,1.268684,1.0,1.144283,1.242635,29.2,0.831,27805.0,100.89629,99.94029,33.60277,38499.0
2008-01-01,0.53331,0.637259037,0.2500475822,-77693874.56794742,-0.8654626294,148.4768384812,165.2837575705,3.3465127313,26193.1828466192,25530.0,10452895795.4743,5.9766001701,0.9979604,1.62492,14.596657802,1.0,1.279612,1.272665,1.0,1.201846,1.249736,29.0,0.833,26772.0,101.00736,100.20958,32.41837,37774.0
2009-01-01,0.5174,0.624949616,0.2634774057,-557609606.52769,-6.5384190985,147.7356400482,16.942269881,-2.4622777217,26139.5081810283,24360.0,10046578422.8121,6.8888001442,0.7729582,1.480706,15.077803048,1.0,1.173995,1.248981,1.0,1.366899,1.152722,30.2,0.835,24674.0,96.80634,102.22535,35.51165,37468.5
2010-01-01,0.60667,0.622315573,1.3872071343,-419944052.33630097,-4.7998151175,153.2555496629,105.6671275378,3.5426832138,27809.106496918,26350.0,10922702218.5833,6.8474001884,0.7900173,1.416975,15.6916184071,1.0,1.192727,1.253456,1.0,1.430892,1.167213,29.0,0.847,24985.0,101.73046,104.24112,37.38576,37163.0
2011-01-01,0.6738,0.616438671,2.0266206929,-13070293.315477801,-0.1374370875,160.4955281348,82.0914355573,1.3071527494,28585.8204520107,27660.0,11513228958.232,6.3780999184,0.7660429,1.286829,16.2194707384,1.0,1.195341,1.063937,1.0,1.339909,1.143347,29.1,0.848,24075.0,101.215,93.30612,39.9993,32227.0
2012-01-01,0.82618,0.605193709,2.595071855,151308332.458471,1.6428926307,165.2478341331,36.0873558917,2.7912054597,29437.1690292596,28240.0,11862318928.1043,6.196100235,0.9432184,1.344982,16.8417459087,1.0,1.247961,1.065075,1.0,1.327936,1.165388,29.4,0.854,23567.0,100.78259,94.04103,42.4792,31768.0
2013-01-01,0.77238,0.605767861,2.580532947,270411855.303124,2.6629852679,156.98259357,5.0229911233,4.6108791149,31080.2683827856,29720.0,12659908145.3617,6.1055998802,0.9835,1.333084,17.5221928378,1.0,1.257873,1.042758,1.0,1.298451,1.156572,28.8,0.861,23655.0,101.70694,94.07425,43.89137,30989.0
2014-01-01,0.71197,0.607513948,3.9301008626,991367813.0503051,8.770272028,148.848270712,1.3790026578,8.706315221,33391.1106767158,32100.0,13947928382.6205,5.7246999741,0.8517444,1.19364,18.1891087107,1.0,1.028362,1.125497,1.0,1.083089,1.184266,29.0,0.868,24072.0,102.82346,94.43334,44.33584,30230.0
2015-01-01,0.74085,0.604136852,5.3550047464,300472065.748363,2.8040761394,153.7678248302,33.97591855,10.8181800119,36195.5631907797,34280.0,15255099147.4281,5.3790001869,0.9003745,1.135586,18.7912141139,1.0,0.8504284,1.063939,1.0,1.168855,1.202808,29.4,0.877,24624.0,103.5492,94.90859,47.12258,29434.0
2016-01-01,0.56749,0.598082175,3.1144932541,434974438.914079,3.7979430091,151.8997698381,27.4465097655,5.6756988539,38347.8685746424,35150.0,16004165626.3758,4.6870999336,0.7212449,0.9977589,19.3791748166,1.0,0.9557845,1.080441,1.0,1.156792,1.196308,29.1,0.881,25177.0,103.97274,95.80822,48.60341,28776.0
2017-01-01,0.5402,0.6126675164,2.7576362695,1345591322.4165099,10.5382247999,149.7709542642,31.1976550882,6.7243259811,41510.2890088613,38120.0,17839508333.6577,4.0015001297,0.7396526,1.14362,19.8872886948,1.0,1.004372,1.24914,1.0,1.28226,1.169982,29.2,0.883,25796.0,104.99837,104.75412,54.25992,30760.0
2018-01-01,0.71904775,0.609670518,3.334985227,1433226277.63042,9.8480356452,144.8655388325,32.5357881872,6.7723281114,42581.0978615749,39230.0,18970477590.4081,3.6582000256,0.5799018,1.053974,20.3493242997,1.0,0.968796,1.294193,2.0,1.336778,1.123317,29.0327270508,0.885,23359.6696580648,101.0998488873,91.9565055525,42.5204146287,31280.2951418459
