date,R_and_D_expenditure,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,Population_over_65,Government_Effectness,Political_Stability,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.49401,6.3064654823,-5125148705.738971,-8.1629748879,72.3018934643,6.2490869673,6.6234616088,16639.3941239799,16160.0,86800343536.12,16.2560997009,0.4919471,0.5449038,11.6376793099,0.9271799,0.8953888,1.161917,0.8999568,29.3,242459.0,98.21761,93.27786,40.35344,662659.0,52.945098877
2006-01-01,0.47563,6.5676163277,-5452492095.42579,-7.7112696304,81.2398533217,8.0633433506,8.4931769493,18894.4043480887,18300.0,98320841108.7014,13.3727998734,0.4223817,0.5467787,11.7743193559,0.8825375,0.7819173,1.133783,0.9311233,25.8,235378.0,100.58846,92.68424,44.77801,640120.0,64.9412994385
2007-01-01,0.44824,8.2321767272,-4632972214.12302,-5.358881998,83.380861421,5.8507757296,10.8320279014,21201.8585290778,20540.0,110380551616.639,11.1434001923,0.349663,0.4927937,11.9217766081,0.7320563,1.035826,1.021248,0.9474362,24.7,230536.0,103.00017,92.33735,50.18767,617109.0,42.0084991455
2008-01-01,0.46204,7.629430259,-6270398054.51731,-6.2410955305,80.1479953487,4.6192038204,5.5748863604,23725.8577558996,23250.0,125077405429.544,9.5075998306,0.3621189,0.5902709,12.0821851286,0.864835,1.08077,1.115403,0.9354531,26.0,224769.0,103.95,91.7409,53.75125,591482.0,55.4710998535
2009-01-01,0.47326,9.9991415643,-3020735525.6965103,-3.3923205012,68.0361180943,1.7081940833,-5.4555322375,23085.3328910618,22900.0,123364618193.176,12.0254001617,0.2703549,0.5397606,12.2575494529,0.8689756,0.9190537,1.050077,0.8762503,27.2,217805.0,102.94312,91.67635,56.04681,568629.0,50.0551986694
2010-01-01,0.61614,10.2797356631,-4209659221.6365204,-4.6678566451,77.3169750696,2.3461293239,5.7208447993,25152.76419964,24400.0,131564298602.343,14.3794002533,0.2946005,0.571119,12.4523388254,0.8371224,1.053317,1.00123,0.910907,27.3,212421.0,101.44802,92.26112,57.06673,549760.0,63.5620994568
2011-01-01,0.66326,10.3575669305,-4909247747.63555,-4.9589602709,85.0149858062,5.4865945367,2.8644429478,26049.7923842016,24900.0,134396744120.836,13.6174001694,0.275088,0.6070484,12.7161029977,0.8325479,0.9747573,1.004638,0.965979,26.5,209213.0,100.30396,92.5989,56.24748,530300.0,61.8497009277
2012-01-01,0.80495,10.4725845421,889408167.6147571,0.942004195,91.0358772574,1.8816251284,1.8958108123,26933.4222167626,26140.0,141334374541.664,13.9632997513,0.096679,0.4923032,12.9961666804,0.8363792,1.088401,1.046938,0.9730169,26.1,209325.0,100.52924,92.596,56.14001,509791.0,53.1119995117
2013-01-01,0.82362,10.6783822105,1797389174.28443,1.8206213192,93.6153562017,1.0168789131,0.6708445822,27967.1723033741,27640.0,149610025166.76,14.2204999924,0.083146,0.4785463,13.3031830275,0.7891342,1.119518,0.9341252,0.9595503,28.1,211407.0,100.58761,90.81761,54.36053,481574.0,40.3147010803
2014-01-01,0.88008,12.2427515458,1198842398.64519,1.1849638988,91.5183156557,-0.3585837085,2.7524343314,28991.5658308395,28560.0,154769445337.15698,13.1841001511,0.1627372,0.4960261,13.6510571483,0.8762358,1.039121,0.8897797,0.9595861,26.1,213766.0,99.76804,90.67749,52.68478,464957.0,68.6451034546
2015-01-01,1.17171,13.409168221,-1849289470.1000102,-2.0906044334,92.0228927439,1.7187843168,4.821918506,29924.1215483702,28950.0,156995390879.84302,11.480799675,0.1778616,0.5038067,14.0470684896,0.8377234,0.8745452,0.788662,0.9654341,26.5,216266.0,98.493,90.98054,50.70005,454032.0,62.8426017761
2016-01-01,0.78895,10.4309583595,-2432487662.19632,-2.7135961036,93.7275041002,5.2909807491,2.1234632207,30824.5961949827,30320.0,164646665730.209,9.6702003479,0.2291559,0.6468015,14.5481176692,0.8940681,0.7211707,0.8890519,0.9607725,25.2,219866.0,97.85217,91.25234,47.79592,446922.0,57.9250984192
2017-01-01,0.88267,10.1060428604,-1834437895.0766802,-1.9260922193,95.1058890456,4.4367054259,3.0407283401,32243.8495132531,31730.0,172573528282.663,8.1309995651,0.2237696,0.5712293,15.0810220452,0.8006557,0.9097863,0.8238245,0.9359443,27.4324400663,225427.0,98.73205,91.06786,46.63439,441619.0,56.904499054
2018-01-01,0.8166509591,10.673644985,-2760395632.88142,-2.6064918755,96.0902870846,2.4096332474,4.0337030434,33736.400937172,33060.0,180088421282.573,6.5363001823,0.3629198,0.5290585,15.6292465048,0.7074615,0.7504383,0.8107936,0.878241,26.637024188,214711.5136272758,100.7306412696,91.4502693444,55.3677002775,517983.281283319,61.5950012207
