year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,building_permits_annual,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,Research_and_development_expenditure_perc_of_GDP
2005-01-01,3.95339456661866,2.758763728,26.8368896995131,8737.455432174464,-2478708459.26082,-5.46130319691042,36.7288249648445,4.3140096603255405,15303.8626234987,14950.0,64431187192.9834,12.5978002548218,199.3000030517578,0.0,17.2475330386212,2.0,0.4607839,0.4330623,2.0,0.5099912,0.4526123,31.135213458187827,0.785,196253.0,103.34599,93.17103,44.76409,400123.0,0.8555799999999999
2006-01-01,6.53858822914129,2.827552068,25.5172157785772,8740.218850200403,-3246164894.97949,-6.43379524036986,37.915812374955294,5.00105488519735,17431.304709546297,16990.0,73251904984.7267,11.129599571228,227.6999969482422,0.0,17.4125561656429,2.0,0.5713951999999999,0.5591877,2.0,0.4197808,0.4814937,31.62318339453958,0.794,194748.0,100.70325,94.93426,45.58529,395836.0,0.7400899999999999
2007-01-01,7.5891515276574815,2.7408538210000004,22.672155889439395,8746.6593909309,-4351942651.2738285,-7.23118534450025,37.827308905999395,5.266381523254919,19354.9821889334,18920.0,81555817083.767,9.909299850463867,224.3000030517578,0.0,17.4403646044655,2.0,0.4742114000000001,0.6047199000000001,2.0,0.4911637,0.517976,32.00649478675511,0.8009999999999999,190693.0,97.72112,96.60086,47.1877,392952.0,0.79225
2008-01-01,7.38074428031165,3.005884494,24.1559113463947,8756.777054365954,-6213967989.5737295,-8.840609229339051,36.4012076074192,1.7595317459155402,20776.448146863102,20160.0,86870002599.052,8.530300140380861,220.5,0.0,17.407497433739,2.0,0.5699982,0.5717462,2.0,0.5098007000000001,0.4678069,32.28514763483443,0.805,182296.0,93.84366,98.37135,49.1642,391637.0,0.88413
2009-01-01,5.10453323288636,2.96554821,27.1782564634504,8770.614685395005,-3158042324.01581,-5.03946986821468,32.6639775941528,-7.3594980216618096,19998.6846884633,19270.0,82969234407.5887,9.20209980010986,129.89999389648438,0.0,17.426629663618698,2.0,0.5968498999999999,0.6115873000000001,1.0,0.5598809,0.4862779,32.6,0.804,174192.0,91.78289,99.84746,48.78587,391437.0,0.84425
2010-01-01,2.38113483983031,2.854405622,29.775047306578607,8788.096668547947,-894404541.475575,-1.4954605436682298,36.1773859709839,-1.49625949506706,19761.4849126156,19100.0,82032425213.1172,11.6203002929688,100.0,712.0,17.560236266408502,2.0,0.6223207,0.6084636,1.0,0.5743341,0.4764283,32.4,0.8109999999999999,167452.0,91.94395,99.901,54.02853,388515.0,0.74265
2011-01-01,2.27346265131436,2.850664397,27.186239388656606,8809.25577440545,-375677421.393464,-0.602489016749716,38.8644501984906,-0.30984728663182204,20743.5063798886,20080.0,85949505860.5996,13.6780004501343,104.3000030517578,0.0,17.8546562460078,2.0,0.5612522,0.6237471,1.0,0.5373026,0.5210824000000001,32.3,0.8170000000000001,162186.0,93.53773,99.19125,57.22782,384008.0,0.7507
2012-01-01,2.5933528034301,2.842125447,29.4219488727739,8834.092002967509,-207948363.42988,-0.3680864479418221,39.5251693295259,-2.23770546299224,21136.4032954146,20390.0,87018293237.0633,15.934599876403801,72.4000015258789,0.0,18.201215211418894,2.0,0.7066916999999999,0.6068915,1.0,0.4582827,0.5408305999999999,32.5,0.82,159945.0,96.37912,98.91718,60.64715,380753.0,0.75007
2013-01-01,1.61446604198505,3.060093757,32.8375105987798,8862.688523959529,566902270.930818,0.9764589093214,40.4345774315983,-0.548518693944928,21769.279958331397,21280.0,90578068318.8526,17.2511005401611,56.9000015258789,0.0,18.5614359825263,2.0,0.7011864000000001,0.6426679,1.0,0.4630746,0.5137413,32.0,0.825,160275.0,99.68901,99.34799,65.53489,379102.0,0.81117
2014-01-01,6.86963900898284,2.987026194,33.6481912689857,8894.88907223948,448060736.0817111,0.777304568907153,43.3005334656434,-0.103868248789766,22062.0257043498,21620.0,91640765973.0788,17.2896995544434,61.0,0.0,18.9064676588857,2.0,0.6929633000000001,0.6191124,1.0,0.3950692,0.5149403,32.1,0.8270000000000001,160819.0,100.996,98.70238,67.51023,370356.0,0.7832399999999999
2015-01-01,0.32095019436242794,3.013220815,33.127466635857104,8847.506026001056,2491562517.05656,5.0303442432012,46.3797494289749,2.43713930223737,23013.622050849102,22870.0,96137727855.8516,16.175199508667,53.9000015258789,271.0,19.245883529724697,2.0,0.5138493,0.5907279999999999,1.0,0.3640225,0.5555071,31.1,0.83,162355.0,100.5792,98.65387,66.49101999999999,360205.0,0.84186
2016-01-01,3.61324148073883,3.18354157,33.52561610581728,8872.279908677621,1389873896.6094198,2.69371437156094,47.633316978420886,3.4835254216931,24511.8948549293,23780.0,99280870469.3597,13.103400230407699,73.9000015258789,469.0,19.615682357229304,2.0,0.4942868,0.6637695,1.0,0.3562783,0.5245169,32.700383281707765,0.8320000000000001,162519.0,98.20057,98.87111,66.53238,349018.0,0.8674799999999999
2017-01-01,3.6884926630403503,3.105347038125579,31.814049826443657,8862.214820784293,2997454900.01015,5.41843000994941,50.028996296934096,3.13919599919778,26351.907040282094,25970.0,107094758143.838,11.208100318908699,100.4000015258789,535.0,20.0223913942074,2.0,0.5713063,0.6918686,1.0,0.424106,0.5114164000000001,32.28587847376753,0.835,165310.04768505692,97.68438950536608,100.18607305481909,66.0267956616366,394094.014421463,0.8700600000000001
2018-01-01,2.10648693143446,2.9803715126988126,35.33116082036372,8908.20510620207,1459036223.54372,2.39297287090787,50.5166501106333,2.63078562253854,27579.780832738197,27180.0,111138143842.784,8.43220043182373,76.61988356771315,439.0,20.445433012423,2.0,0.4569183,0.7688775999999999,1.0,0.4473468,0.5019643,32.673038132558226,0.8370000000000001,162014.6299670376,101.72879552480697,100.74344736889724,68.94011966404915,381119.93331980705,0.7757286126190424
