year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,0.652062675243123,1.206915282,19.3109091541427,5470.484778414191,55102457066.3372,13.4827234307336,53.7904693849479,3.11520191691865,40572.2644828349,43980.0,327059401274.082,3.4023343513960302,91.00000381469728,164900.0,6791.0,15.7835662889126,1.0,1.851264,1.19764,1.0,1.551834,1.586438,35.23627358502892,0.9059999999999999,524222.0,102.30718,95.45322,45.80415,574783.0,64.9127813499708,2.1959022209704706
2006-01-01,12.475778179868,1.188791782,18.656810677704602,5410.2675878800555,61581178327.4035,14.2905891822522,56.4911691890821,3.98872281604888,45106.416682867,48470.0,362758817325.49896,3.655849488789645,91.00000381469728,170670.0,6129.0,15.9539380618663,1.0,2.078077,1.269325,1.0,1.495726,1.518006,33.9,0.912,517056.0,101.98685,96.02689,46.5378,584073.0,67.28833086299821,2.3845903002762734
2007-01-01,10.145226279634599,1.190290383,19.930051686683,5350.20183106685,47930911916.577,9.98740933063335,61.3035933572649,4.11176774758097,49746.3893908108,50050.0,377924536160.99,3.884457855576627,90.0,178000.0,5606.0,16.1490633784186,1.0,2.042494,1.234161,1.0,1.6444150000000002,1.503815,34.3,0.915,510804.0,102.10811,95.91104,47.24253,592454.0,69.44589262641847,2.557529559952784
2008-01-01,0.539526360837645,1.159810221,20.2420204736258,5290.2875079745745,13187538777.1846,2.37886172592165,62.6611734237573,2.15474411847813,52584.726810010194,49150.0,375881421641.219,4.088159451756976,90.0,184000.0,5860.0,16.3701207204,1.0,2.037171,1.2232610000000002,1.0,1.561896,1.51683,33.8,0.917,505382.0,102.54068,95.88605,48.83328,598957.0,71.38546664023153,2.71472
2009-01-01,8.80111104184472,1.152973555,20.753872890306607,5230.361092671538,40721497989.5006,7.52004147267213,57.2304760078274,-2.22211193662125,51769.030289798895,52750.0,408518497645.874,4.11609983444214,90.0,189000.0,5747.0,16.6176555614295,1.0,1.948745,1.307553,1.0,1.551713,1.553312,32.9,0.927,499435.0,102.83444,95.60131,50.14809,601033.0,73.11147014765943,2.85652749887512
2010-01-01,3.0269335701618703,1.126085446,21.460363835523502,5170.750051908029,85821578272.7864,14.7009282553697,63.9656232353477,3.00279824507554,53067.724636561914,56180.0,439637085444.5471,4.802899837493901,86.99999809265137,192000.0,5770.0,16.8913676135836,1.0,1.876344,1.258594,1.0,1.623263,1.584912,32.6,0.932,492508.0,102.8495,96.11023,52.93773,605184.0,74.61447143554688,2.9821771522127083
2011-01-01,2.96813782714396,1.129523019,21.5570329141586,5111.29044486545,54661211220.7431,7.81343807989136,65.46551411978321,1.69275218048341,56183.8216241817,56830.0,449676395959.064,4.40220022201538,88.01673889160156,198000.0,7467.0,17.0997517134202,1.0,1.867497,1.300342,1.0,1.621409,1.584808,31.7,0.932,487436.0,103.1139,96.41895,54.48452,605000.0,75.89948497382717,3.0920779859210015
2012-01-01,5.97917586942538,1.095540933,22.958502786957602,5051.9822715438,71311683676.6801,10.6747069951944,67.03362445603071,1.00607781215992,57849.572038326,59140.0,472965119580.052,4.48460006713867,86.0,203000.0,8814.0,17.3301938108984,1.0,1.891962,1.418336,1.0,1.65837,1.640122,31.6,0.935,483466.0,103.1537,96.48052,55.52047,606162.0,76.96651076250025,3.18623
2013-01-01,-3.62037955544283,1.058173919,22.9925196662751,4992.663666695693,79673219972.9709,11.5719291441517,71.92493822246809,1.85203545309911,60108.520020158,61380.0,496497257704.326,4.746699810028081,85.0,220000.0,9375.0,17.572110469537197,1.0,1.824577,1.40114,1.0,1.628784,1.628098,32.5,0.938,483707.0,103.6015,98.89136,56.27015,617000.0,77.81757550170563,3.2648263648905527
2014-01-01,2.9615932287340496,1.081466182,23.4181472290315,4933.65877570281,60661859383.5493,8.55377656220236,64.2737455326773,2.4491795250496,61902.129536036395,62170.0,509076701038.649,4.82590007781982,86.0,232000.0,9006.521739130434,17.8004465511951,1.0,2.112258,1.402653,1.0,1.806558,1.559489,32.5,0.9390000000000001,483900.0,103.4874,99.39207211377047,57.22971999999999,618986.1474305519,78.44802856445312,3.3274375922599235
2015-01-01,16.8287746079763,1.048877672,25.291983682512694,5192.221053966483,76554499514.4823,11.2607902245683,62.216138725090104,1.33338850138985,63938.9893868853,65450.0,542121799886.034,4.80070018768311,86.0,240000.0,10399.0,17.997330287973302,1.0,1.998052,1.339359,1.0,1.7410869999999998,1.558501,32.3,0.943,490469.0,104.1842,101.4737,57.70735,614470.0,78.86049387759343,3.3743
2016-01-01,10.784131293461401,1.00434539,22.805563610616296,5033.965543047648,63571373082.7408,9.46976506116058,65.7442826800745,1.7226491078443,64323.925242108606,64680.0,541546466635.944,4.91790008544922,86.0,245700.0,9603.0,18.2289036991655,1.0,2.008593,1.30629,1.0,1.911901,1.531788,33.11563482880592,0.943,498338.0,104.6291,102.5654,58.04695,609783.0,79.05497144112654,3.4332166121032164
2017-01-01,10.0431170785816,1.1163488017358958,23.83683426879019,5029.4562544816,44355927879.3031,6.5234014520399715,65.0326216876611,1.7994766937199802,66395.856341546,67140.0,567427828053.227,4.79670000076294,85.0,251000.0,8774.0,18.4308671298436,1.0,2.056261,1.256539,1.0,1.883794,1.555488,32.53981079459191,0.943,507686.0,105.1907,102.4874,59.56299,608845.0,79.03109741210938,3.4505086917563625
2018-01-01,-9.59769550840629,1.1331290434587662,23.32254359594516,5039.06981794006,74099963146.712,10.5085409888816,66.12944585197489,2.75051698095396,68060.9410452501,68820.0,586110741184.413,4.713300228118901,85.0,255000.0,9214.0,18.6232165647717,1.0,2.039621,1.344863,1.0,1.7804060000000002,1.616422,32.79651308357716,0.946,484097.48235568777,103.21761269626322,98.7883463388738,57.96411397253931,624894.3989341939,77.80984517082922,3.4859770079077235
