,Austria,Belgium,Bulgaria,Cyprus,Czechia,Denmark,Estonia,Greece,Spain,Finland,France,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,85.3,,,,,,,,,,,,,,,,,
1995,,68.9,,,,,,132.6,318.6,53.3,70.0,,,,,,,,,91.0,,,471.5,,,,,
1996,,64.4,,,,,,169.1,299.6,78.5,60.9,,,,,,,,,114.0,,,536.8,,31.5,,,
1997,,67.8,,,,,,179.6,337.0,99.8,60.5,,,,,,,,,104.2,,,614.8,,32.5,,,
1998,,56.4,,,,77.6,,202.6,405.7,100.8,90.1,,52.1,,,,,,,86.1,,,697.0,,30.5,74.2,,46.6
1999,,70.6,,,,84.9,25.4,188.0,450.4,112.5,52.0,,72.3,186.2,,87.7,,,,80.3,,,760.6,,28.7,73.6,,50.3
2000,,70.4,45.0,30.5,166.0,93.7,33.2,190.0,514.7,106.4,66.0,88.4,152.9,253.3,,66.9,93.6,,37.4,68.1,111.4,98.1,729.0,52.6,41.6,83.3,,58.6
2001,,71.3,64.1,33.6,121.2,112.5,47.8,237.5,458.4,83.6,63.8,146.9,205.3,258.7,,65.0,75.4,4.7,76.7,58.2,128.3,76.0,632.3,49.9,56.9,94.2,,69.1
2002,,78.8,78.9,45.5,169.2,132.3,114.3,297.3,474.4,86.2,62.1,162.6,214.1,265.6,,68.1,81.8,13.8,104.2,62.1,140.7,52.5,501.8,29.4,46.8,96.7,,81.0
2003,,86.1,90.7,71.5,171.8,163.6,106.5,296.0,555.6,97.0,72.5,181.7,266.8,418.2,,116.1,95.1,104.1,121.5,70.4,130.8,41.5,457.1,46.5,70.0,122.3,51.4,109.4
2004,,103.2,193.8,98.8,198.7,174.5,419.7,279.8,653.6,88.2,98.3,174.0,299.1,466.6,,157.3,115.9,184.3,140.9,68.1,190.5,66.6,400.4,45.8,91.5,174.1,112.9,145.0
2005,92.5,120.4,303.4,126.9,218.7,219.7,400.3,499.3,727.4,96.6,112.9,199.3,281.3,344.8,,225.8,140.1,370.9,201.8,86.1,225.4,79.8,396.7,57.6,111.4,158.7,185.6,162.0
2006,100.0,131.7,512.1,129.2,225.6,184.9,572.2,284.9,913.1,91.0,129.8,227.7,225.1,272.7,,336.5,126.1,519.3,239.9,119.6,211.8,121.3,377.6,90.8,176.0,203.0,189.3,163.3
2007,97.5,115.0,629.0,153.1,230.6,88.7,352.5,223.9,795.4,81.9,121.4,224.3,237.1,313.8,,396.6,146.8,596.8,274.4,118.1,196.9,179.3,352.1,169.6,82.9,300.3,128.4,174.5
2008,101.4,109.4,468.2,157.0,206.4,75.2,210.3,168.5,326.8,69.6,99.4,220.5,258.9,287.7,,300.0,120.1,178.0,165.5,122.2,123.1,155.6,236.7,198.4,76.4,224.1,243.5,105.6
2009,105.4,91.8,169.2,118.8,174.0,40.2,54.2,119.9,157.5,79.4,77.0,129.9,161.1,199.9,,65.8,113.2,116.7,123.6,108.3,93.7,102.3,110.6,99.8,70.0,126.4,143.7,87.9
2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011,130.4,89.1,79.6,58.0,88.7,134.8,122.7,49.7,81.3,111.0,117.3,104.3,51.4,37.1,,96.9,121.7,88.1,87.7,83.5,155.1,116.7,55.5,89.4,115.4,62.4,51.9,80.6
2012,116.9,94.6,79.7,35.4,74.1,90.6,135.4,25.8,62.7,104.5,111.9,72.4,41.9,12.5,,175.4,127.8,114.6,66.6,55.9,154.8,105.8,33.1,106.4,108.2,41.3,56.2,70.0
2013,142.1,107.0,99.4,24.1,85.1,86.4,122.8,14.0,27.1,90.9,97.6,56.9,30.6,17.4,,196.5,96.2,168.9,55.2,56.0,158.6,84.7,18.4,106.8,145.2,31.3,86.6,76.8
2014,154.1,124.3,137.6,14.3,108.2,138.7,177.1,11.6,32.1,111.1,92.7,61.0,45.8,11.4,,193.2,180.8,57.8,59.4,70.8,148.7,110.7,17.1,137.8,169.0,17.0,100.7,99.3
2015,156.1,103.0,152.9,17.7,118.9,197.9,274.3,10.9,33.1,122.4,99.1,53.9,61.0,40.6,,264.7,121.0,43.5,81.8,88.7,157.2,142.3,23.3,179.4,230.2,12.2,134.5,72.4
2016,164.6,120.5,161.1,18.5,103.6,236.4,288.2,11.8,43.2,160.3,116.7,73.9,192.1,56.6,,344.9,150.6,75.0,169.1,72.9,193.8,159.5,42.1,218.9,277.3,17.8,152.1,72.6
2017,,,227.7,,,165.7,389.6,,,,124.2,100.4,,,,353.3,,64.5,,95.0,209.5,,54.1,316.9,,22.0,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
